"State.Abbreviation"	"St.FIPS"	"OoERMort"	"OoERFemale"	"OoERMale"	"OoERAge.20"	"OoERAge20_39"	"OoERAge40_64"	"OoERAge65plus"	"OoERAsian"	"OoERBlack"	"OoERNativeAmer"	"OoERWhite"	"OoERNotHispanic"	"OoERHispanic"	"OoERMort.SE"	"N.Female"	"N.Male"	"N.Age.20"	"N.Age20_39"	"N.Age40_64"	"N.Age65plus"	"N.Asian"	"N.Black"	"N.NativeAmer"	"N.White"	"N.NotHispanic"	"N.Hispanic"	"County.Population"	"Race.2.County"	"Race.3.County"	"Race.4.County"	"Hispanic.County"	"Age.County"	"County.Name"	"City.Names"	"Cities.Population"	"rev_general"	"own_source_rev"	"tax_income_indiv"	"tax_income_corp"	"tax_property"	"spending_general"	"spending_direct"	"education"	"social_services"	"public_welfare"	"health"	"hospitals"	"transportation"	"public_safety"	"envir_housing"	"PCI2005"	"Sub.HS.2000"	"HS.2000"	"Some.College.2000"	"College.2000"	"State"	"State.Total"	"State.EducationPrimSec"	"State.EducationPostSec"	"State.Welfare"	"State.HealthHospitals"	"State.Highways"	"State.Police"	"State.Other"	"State.X"	"State.Code2D"
"NC"	"NC081"	0.969665148398386	1.03232091514274	0.909759872218854	1.01104121611503	0.827202302226487	0.882004335640713	1.00689067189554	0.0139393957950002	0.925504380455521	0.874275080982379	71.691233795002	0.973806179741772	0.693191622948265	0.00493067781454889	2576897	2334781	1312692	1367643	1604963	626380	216046	1673637	38061	2983934	4566892	344786	4911678	0.340746482159458	0.00774908289997838	0.0439861896484256	0.0701971912653883	37.5619477701918	"Guilford"	"NC: Greensboro"	245308	4134.23	2440.96	0	0	1294.9	4233.33	4568.94	1671.75	445.56	200.09	245.48	0	256.16	616.9	717.23	34517	17	25.1	27.5	30.3	"North Carolina"	5963.938504	1233.046887	850.3099281	1035.834281	804.0906071	407.9075223	196.4769712	1436.272308	NA	37
"NC"	"NC119"	0.902913912632472	0.930946122973726	0.875622777166781	0.863098694982735	0.737194333675554	0.792786518194127	0.969802075517203	0.0204977914313044	0.939253938562487	0.547575992851714	40.5222875683219	0.911196672352062	0.667339339315571	0.00393162569694389	4845555	4517296	2595807	2967011	2940004	860029	498273	3025586	77621	5761371	8249229	1113622	9362851	0.323147938592636	0.00829031669947541	0.0532180849615144	0.118940480842854	35.2540032411068	"Mecklenburg"	"NC: Charlotte"	626629	6423.19	4661.91	0	0	1559.34	6017.09	6863.25	1746.3	1683.59	240.92	209.71	1232.96	357.11	552.78	811.45	44168	13.8	19.9	29.2	37.1	"North Carolina"	5963.938504	1233.046887	850.3099281	1035.834281	804.0906071	407.9075223	196.4769712	1436.272308	NA	37
"NC"	"NC183"	0.83196637126736	0.852044625018038	0.81157985410224	0.904981687042905	0.620691784230717	0.653262709304388	0.930898895693847	0.015651811584923	0.847131803579021	0.63089068190811	33.7090869905289	0.837407959479001	0.635173813518883	0.00393991666489297	4685749	4442258	2599678	2729989	2982439	815901	551541	1998722	78913	6498831	8263238	864769	9128007	0.218965870644052	0.00864515112663695	0.0604229378877558	0.0947379860685909	35.2704285283743	"Wake"	"NC: Raleigh"	324815	4230.2	2625.26	0	0	1241.95	4409.22	4863.66	1741.28	399.4	150.37	249.03	0	291.41	523.77	809.45	41606	10.7	17.8	27.7	43.9	"North Carolina"	5963.938504	1233.046887	850.3099281	1035.834281	804.0906071	407.9075223	196.4769712	1436.272308	NA	37
"ND"	"ND015"	0.873190548772898	0.93154621381288	0.818300361898299	1.0280140744481	1.07832546952963	0.70226146439041	0.906742074798098	0.0015726185035567	0.603906569940503	1.55899759035786	469.823875015852	0.875175666956853	0.464197923516349	0.0110619107643606	422805	412978	214445	233245	273494	114599	5861	9006	37982	782934	823074	12709	835783	0.0107755242688593	0.0454448104352446	0.00701258580277416	0.0152061001480049	38.2992409512996	"Burleigh"	"ND: Bismarck"	56885	3441.19	2255.56	0	0	1030.31	3370.99	3664	1159.64	157.67	68.18	89.49	0	644.9	363.19	562.45	34448	12.1	23.7	35.5	28.7	"North Dakota"	6729.170439	1416.561805	981.162038	1105.702156	152.4975661	808.1982513	154.5328894	2110.515734	NA	38
"ND"	"ND017"	0.859774355720515	0.857201858632777	0.862286874381953	0.848728019370159	0.619641748357302	0.814202923228675	0.891357082443477	0.00443480755096251	0.474533942558221	1.53314225322013	147.340416062909	0.858810995347486	1.03462878282647	0.0090891129343429	759348	774676	394545	548836	435660	154983	40264	48509	22196	1423055	1501889	32135	1534024	0.0316220606718017	0.0144691347723373	0.0262473077344292	0.0209481729099414	35.2203198906927	"Cass"	"ND: Fargo"	96400	4290.53	2836.45	0	0	1198.19	4099.84	4292.47	1445.35	138.2	56.8	81.4	0	560.76	323.56	628.62	35282	9.1	22.9	36.7	31.3	"North Dakota"	6729.170439	1416.561805	981.162038	1105.702156	152.4975661	808.1982513	154.5328894	2110.515734	NA	38
"NE"	"NE055"	1.0309720698288	1.06107581110579	1.00164635905406	1.04469205960701	0.896391901552583	0.981012677814004	1.05562335400648	0.00685468188592361	1.13645619879166	1.4667295243405	129.533547818764	1.03719469314929	0.828676971842044	0.00531358314899567	2649684	2563767	1497154	1544060	1602998	569239	167228	656942	67270	4322011	4633459	579992	5213451	0.126009048517	0.0129031614567779	0.0320762581253761	0.111249151473755	35.7930538716102	"Douglas"	"NE: Omaha"	405173	3840.55	2686.92	0	0	1325.86	3419.07	5268.86	1492.71	147.82	20.23	28.54	99.05	134.86	508.07	497.46	41573	12.7	26.2	30.5	30.6	"Nebraska"	6261.576943	1477.779411	782.7716993	1148.002523	472.1870091	582.6078614	169.5273963	1628.701042	NA	31
"NE"	"NE109"	0.928562375066187	0.952733967579564	0.904354429695611	0.896570455727105	0.6540625002171	0.814862574839221	0.980421031801933	0.00988246202662264	0.65192324768222	1.16758120769044	84.6641096362091	0.932193809524416	0.72382644385645	0.00673809555232747	1440205	1445832	779619	934558	848037	323823	117427	128764	30002	2609844	2715112	170925	2886037	0.0446161986142243	0.0103955701191634	0.0406879745477969	0.0592248124331046	35.8284313402773	"Lancaster"	"NE: Lincoln"	240190	3798.22	2551.87	0	0	1284.29	3848.92	4979.92	1341.16	363.39	155.49	207.9	0	464.09	368.11	537.21	34574	9.5	25.2	32.7	32.6	"Nebraska"	6261.576943	1477.779411	782.7716993	1148.002523	472.1870091	582.6078614	169.5273963	1628.701042	NA	31
"NH"	"NH011"	0.965891301289813	1.00426164600915	0.927835077047907	0.82738912916134	1.00584083246835	0.837254434535292	1.01003795872596	0.00591977497261313	0.487773884598016	0.139259527536673	103.350705407764	0.970805178877505	0.660591302230566	0.00559385040601082	2027194	1989312	1030680	1013461	1473940	498425	149631	108172	15713	3742990	3798870	217636	4016506	0.026931865656369	0.00391210669173655	0.0372540212811832	0.05418540393068	38.5960647139579	"Hillsborough"	"NH: Manchester,NH: Nashua"	197228	4472.95525711359	2794.41848682743	0	0	1826.9952461111	4599.06309656844	4790.78076023688	1619.90279752368	133.570694830349	93.3317277972701	40.2389670330785	0	333.465391577261	497.398997505425	868.413175106983	42302	13	27.5	29.4	30.1	"New Hampshire"	6046.882846	1642.941196	518.5946467	1250.470546	139.1152198	411.5242913	194.8021243	1889.434821	NA	33
"NM"	"NM001"	1.0703044191703	1.01812036176727	1.12453136418444	1.18637207234095	1.50259232753848	1.14523055647776	1.02225781331108	0.0123389114519255	0.866235236135164	1.22448055711373	92.9306582903655	0.97136528249368	1.32771040903014	0.00476737292087601	3366744	3233361	1737914	1881882	2136218	844091	200666	259035	401346	5739058	3443182	3156923	6600105	0.0392471028869995	0.0608090325835725	0.0304034557025987	0.478314057124849	37.5788968508834	"Bernalillo"	"NM: Albuquerque"	489868	4063.97	2032.01	0	0	594.25	3774.34	4073.57	1432.35	109.77	46.41	63.36	0	357.82	663.24	662.7	32546	15.6	24.8	29.1	30.5	"New Mexico"	7218.223192	1535.556034	882.3593341	1546.285879	539.1160881	502.8194759	245.7213625	1966.365019	NA	35
"NM"	"NM013"	1.04890737191015	0.905470930391664	1.21788685342354	1.0530138953194	1.26701748442099	1.16931895736165	1.00525788640243	0.00488256614395591	0.752095759110947	0.651534117836456	185.647787404055	0.999303439931941	1.11638178756101	0.00880037609284042	1057569	1018229	632906	588012	588185	266695	32246	49692	49989	1943871	703502	1372296	2075798	0.023938745484869	0.0240818229904837	0.0155342668217235	0.661093227761083	35.6903453515226	"Dona ana"	"NM: Las Cruces"	82547	3958.48	2208.74	0	0	390.11	3796.51	4388.98	1453.91	115.33	94.88	20.45	0	277.21	578.52	634.68	24879	30	22.4	25.3	22.3	"New Mexico"	7218.223192	1535.556034	882.3593341	1546.285879	539.1160881	502.8194759	245.7213625	1966.365019	NA	35
"NV"	"NV003"	1.10649861126139	0.906636193398001	1.35383455183149	1.03268868059099	1.18314496628746	1.17544209703835	1.07880906799612	0.0704477844695811	0.933573619831745	0.87100148472731	18.0689097769253	1.1347388372812	0.879505768480253	0.00299027468548596	9765745	9872212	5317263	5718589	6271177	2330928	2108538	2406704	263841	14858874	13911378	5726579	19637957	0.122553685192406	0.0134352570381939	0.107370537576796	0.291607675890114	36.7518660418698	"Clark"	"NV: Las Vegas"	537788	6548.27	3851.93	0	0	1232.19	5920.03	6668.54	1752.47	540.42	124.13	56.67	359.62	869.07	905.58	829.22	38093	20.5	29.9	32.3	17.3	"Nevada"	6140.004103	1353.383004	436.10018	673.2272732	440.4753339	639.6198743	322.0723453	2275.126093	NA	32
"NV"	"NV031"	1.1258548801238	0.967870689706748	1.31071022618887	1.19415712603989	1.14576314146329	1.16915292415771	1.10807077874477	0.0366744283359277	0.94809324702331	1.17725212469731	37.7573578675927	1.15042310714659	0.820546101914564	0.00616714705001245	2099015	2135662	1101206	1166456	1426611	540404	284603	131786	100133	3718155	3287196	947481	4234677	0.0311206734303466	0.0236459593022089	0.0672077232809019	0.223743392943547	37.8475487032423	"Washoe"	"NV: Reno"	205774	5987.73	3474.75	0	0	1245.6	6367.48	6913.81	1451.58	298.15	203.8	94.35	0	797.36	985.69	1126.11	44412	16.1	25.2	35	23.7	"Nevada"	6140.004103	1353.383004	436.10018	673.2272732	440.4753339	639.6198743	322.0723453	2275.126093	NA	32
"NY"	"NY029"	1.0423120666077	1.17493248570954	0.9248189990127	1.11685188026547	1.03728797741388	0.998700079811994	1.05206292881371	0.00535480120516236	1.10351846615534	1.24762309190354	158.084447528583	1.0401995474791	1.2085138769674	0.0033761851276023	4769989	4446276	2256102	2330106	3161361	1468696	271182	1315286	72475	7557322	8791519	424746	9216265	0.142713561296252	0.00786381467980793	0.029424284132455	0.0460865654362152	40.0578484342627	"Erie"	"NY: Buffalo"	279884	6360.77	2344.62	0	0	887.23	6707.5	6895	3364.23	606.04	431.24	170.23	4.57	255.68	724.4	666.46	32536	17.1	29.9	28.5	24.5	"New York"	9623.422157	2216.23077	492.8459316	2228.778405	789.2410915	461.7640771	385.1870707	3049.374811	NA	36
"NY"	"NY055"	0.936895924103703	1.04234055245271	0.839897850877517	0.985410856076101	0.803372639102139	0.829503525842717	0.970052713072578	0.00865172585476218	0.961546648916127	0.66954112136102	96.0202337167889	0.931136677376196	1.21929365343831	0.00371535530165932	3855795	3597311	1925652	1944826	2513151	1069477	270872	1234868	33123	5914243	6904541	548565	7453106	0.165685017763064	0.00444418743004594	0.0363435056471758	0.0736022002102211	38.8716328467621	"Monroe"	"NY: Rochester"	216876	6936.58	2985.42	0	0	1410.23	6811.12	7021.19	3179.55	747.86	496.8	159.72	91.34	245.64	840.25	375.54	35015	15.1	26.1	27.5	31.2	"New York"	9623.422157	2216.23077	492.8459316	2228.778405	789.2410915	461.7640771	385.1870707	3049.374811	NA	36
"NY"	"NY061"	0.877610185997882	0.951429993771289	0.809934450468519	0.732401797358611	0.724566867506513	0.897839435012636	0.885136804991063	0.088388136337854	0.806959301215763	0.121177129318805	9.2781172340514	0.83591500528724	1.13456350447742	0.00121793311680141	43251745	39203960	19955111	26476133	25796335	10228126	11625448	24348675	1340033	45141549	58861211	23594494	82455705	0.295294000578856	0.0162515498472786	0.140990220143045	0.286147501861757	37.5181650378224	"97"	"NY: New York"	8043366	10354	6498.27	1028.6	643.4	1808.79	8594.07	11138.96	2361.26	1906.61	951.96	193.86	760.8	407.16	1009.96	1134.67	97411	21.3	13.5	15.8	49.4	"New York"	9623.422157	2216.23077	492.8459316	2228.778405	789.2410915	461.7640771	385.1870707	3049.374811	NA	36
"NY"	"NY067"	0.965192179574534	1.04601661397834	0.89037311644173	0.941192733088323	0.884840994306305	0.88062047835791	0.991124567388427	0.00754563834160606	1.00123639760922	1.00823573157865	118.576296806368	0.964245001027326	1.06045336688848	0.00476936246272632	2415157	2245652	1223301	1188776	1578871	669861	162592	574557	47861	3875799	4470130	190679	4660809	0.123274092544878	0.0102688181386536	0.0348849309207908	0.0409111379590968	38.8509410061644	"Onondaga"	"NY: Syracuse"	145215	7030.76	2893.97	0	0	984.41	7208.07	7443.85	3066.37	750.27	502.37	247.9	0	507.63	819.36	563.7	34061	14.3	29.1	28.1	28.5	"New York"	9623.422157	2216.23077	492.8459316	2228.778405	789.2410915	461.7640771	385.1870707	3049.374811	NA	36
"NY"	"NY119"	0.795349639878919	0.893552746960726	0.706679170516672	0.696538576156503	0.686479486667864	0.649508090951996	0.838237781385077	0.0152634960741619	0.772809107127427	0.159078800652097	34.3355817131525	0.800801493603257	0.721694196042756	0.00301145684040615	4936460	4589275	2512911	2252098	3341588	1419138	589648	1559709	86289	7290089	7438758	2086977	9525735	0.163736341605136	0.00905851359501393	0.0619005252613053	0.219088290824802	39.3766257406909	"Westchester"	"NY: Yonkers"	196160	8249.49	5037.63	71.12	0	2173.98	7978.57	8139.26	2713.62	1406.96	335.89	285.34	785.73	282.7	975.75	531.42	66745	16.4	22.1	20.6	40.9	"New York"	9623.422157	2216.23077	492.8459316	2228.778405	789.2410915	461.7640771	385.1870707	3049.374811	NA	36
"OH"	"OH035"	1.04328360768249	1.15800106087422	0.941066804960504	1.07522490948221	1.05424876113754	1.04874897076786	1.0407170859731	0.00952237876494755	1.0516721435375	0.380289363957259	95.6796377541724	1.04316220863139	1.05245044954051	0.00282127270977932	6711460	6071874	3213858	3174599	4380161	2014716	375558	3939663	44575	8423538	12161045	622289	12783334	0.308187441554762	0.00348696200850263	0.0293787207625178	0.0486797106294805	39.923637565912	"Cuyahoga"	"OH: Cleveland"	443502	7388.21	4007.9	783.69	0	1201.82	7242.83	8616.67	2137.44	1311.58	381.69	397.13	532.76	751.13	811.04	999.25	36228	18.4	30	26.4	25.1	"Ohio"	6801.821636	1666.589522	588.369338	1334.987595	613.4137405	384.6141432	229.5693569	1984.27794	NA	39
